expediente,id_noticia,titulo,bajada,fecha_publicacion,url_noticia,estado,url_proyecto,url_expediente,imagen,fuente_imagen,palabras
19669,2026-03-11-asistencia-trabajadores-al-goya,Impulsan una asistencia transitoria para trabajadores despedidos de Alal,Cecilia Gortari y legisladores del bloque propusieron un apoyo económico temporal para las personas cesanteadas de la firma textil en Goya y sus familias.,2026-03-11T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-03-11-asistencia-trabajadores-al-goya,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19669/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19669.pdf,/assets/uploads/project-news/2026-03-11-19669-asistencia-trabajadores-alal.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,281
19670,2026-03-11-alivio-corrientes,Alivio Corrientes: proponen una salida ordenada para deudas familiares,La iniciativa impulsada por Cecilia Gortari y el bloque plantea un programa provincial para reestructurar obligaciones y acompañar a hogares sobreendeudados.,2026-03-11T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-03-11-alivio-corrientes,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19670/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19670.pdf,/assets/uploads/project-news/2026-03-11-19670-alivio-corrientes.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,262
19675,2026-03-11-cinco-proyectos-corrientes,Piden mejorar las condiciones edilicias de las escuelas rurales de Goya,"El proyecto solicita al Poder Ejecutivo un relevamiento y respuestas para establecimientos rurales del departamento de Goya, con foco en la seguridad y el aprendizaje.",2026-03-11T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-03-11-cinco-proyectos-corrientes,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19675/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19675.pdf,/assets/uploads/project-news/2026-03-11-19675-escuelas-rurales-goya.webp,Wikimedia Commons | Cacedi1 | CC BY-SA 4.0,278
19680,2026-03-11-seguridad-ruta-27,Solicitan señalización e iluminación para reforzar la seguridad en la Ruta 27,La propuesta pide intervenir puntos críticos de la Ruta Provincial 27 para mejorar la visibilidad y reducir riesgos para quienes circulan por ese corredor.,2026-03-11T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-03-11-seguridad-ruta-27,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19680/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19680-1.pdf,/assets/uploads/project-news/2026-03-11-19680-seguridad-ruta-27.webp,Wikimedia Commons | Lucash | CC BY-SA 3.0,251
19714,2026-03-18-cobertura-ioscor-identidad-genero,Proponen ampliar la cobertura del IOSCOR para prestaciones de identidad de género,El proyecto busca incorporar prestaciones vinculadas con la identidad de género a la obra social provincial y garantizar una atención integral a sus afiliados.,2026-03-18T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-03-18-cobertura-ioscor-identidad-genero,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19714/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19714.pdf,/assets/uploads/project-news/2026-03-18-19714-cobertura-identidad-genero.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,267
19715,2026-03-14-proyectos-ley-deudores-ioscor,Buscan restringir el acceso a casinos a deudores alimentarios morosos,"La iniciativa propone impedir el ingreso a salas de juego a quienes figuren en el registro de deudores alimentarios, reforzando el cumplimiento de sus obligaciones.",2026-03-18T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-03-14-proyectos-ley-deudores-ioscor,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19715/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19715.pdf,/assets/uploads/project-news/2026-03-18-19715-deudores-alimentarios-casinos.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,260
19720,2026-03-18-informe-salud-sexual-reproductiva,Proponen declarar de interés un informe sobre salud sexual y reproductiva,La declaración impulsada por Cecilia Gortari y el bloque busca visibilizar un monitoreo ciudadano sobre el acceso a prestaciones e insumos en Corrientes.,2026-03-18T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-03-18-informe-salud-sexual-reproductiva,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19720/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19720.pdf,/assets/uploads/project-news/2026-03-18-19720-informe-salud-sexual.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,251
19753,2026-03-22-reclamo-docente-haberes-dialogo,Piden reabrir el diálogo con docentes y revisar los descuentos salariales,La resolución solicita una instancia urgente de diálogo con las organizaciones docentes y la revisión de descuentos aplicados durante el conflicto educativo.,2026-04-08T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-03-22-reclamo-docente-haberes-dialogo,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19753/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19753.pdf,/assets/uploads/project-news/2026-04-08-19753-dialogo-docente.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,258
19786,2026-04-08-informe-aportes-tesoro-nacional,Solicitan informes sobre los Aportes del Tesoro Nacional recibidos por Corrientes,"El pedido busca conocer los montos, fechas, criterios y destinos de los fondos nacionales transferidos a la Provincia bajo el régimen de Aportes del Tesoro Nacional.",2026-04-08T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-08-informe-aportes-tesoro-nacional,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19786/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19786.pdf,/assets/uploads/project-news/2026-04-08-19786-informe-atn.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,252
19787,2026-04-08-informe-banco-corrientes,Piden información sobre la situación financiera del Banco de Corrientes,La iniciativa requiere datos institucionales y financieros para fortalecer el control legislativo sobre el banco público y resguardar su función provincial.,2026-04-08T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-08-informe-banco-corrientes,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19787/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19787.pdf,/assets/uploads/project-news/2026-04-08-19787-banco-corrientes.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,259
19788,2026-04-07-proteccion-salarial-y-apid,Impulsan proteger los salarios frente a débitos bancarios automáticos,El proyecto propone límites y mecanismos de resguardo para evitar que débitos automáticos y descuentos comprometan la disponibilidad del ingreso salarial.,2026-04-08T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-07-proteccion-salarial-y-apid,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19788/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19788.pdf,/assets/uploads/project-news/2026-04-08-19788-proteccion-salario.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,259
