identificador_interno,expediente,fecha_presentacion,tipo,titulo_proyecto,titulo_oficial,resumen,area_tematica,autoria_sistema,firmantes_verificados,noticia_ya_existente,id_noticia_existente,id_noticia_publicada,titulo_periodistico_propuesto,bajada_propuesta,imagen_propuesta,fuente_imagen,url_proyecto,url_expediente,estado_generacion,estado_publicacion,observaciones
EXP-19669,19669,2026-03-11,Proyecto de Ley,Asistencia económica para trabajadores cesanteados de Alal,Crea el Régimen Extraordinario de Asistencia Económica Transitoria para trabajadores cesanteados de Emilio Alal SACIFI.,"Propone asistencia económica para trabajadores cesanteados de Alal. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Seguridad,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,true,2026-03-11-asistencia-trabajadores-al-goya,2026-03-11-asistencia-trabajadores-al-goya,Impulsan una asistencia transitoria para trabajadores despedidos de Alal,Cecilia Gortari y legisladores del bloque propusieron un apoyo económico temporal para las personas cesanteadas de la firma textil en Goya y sus familias.,/assets/uploads/project-news/2026-03-11-19669-asistencia-trabajadores-alal.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19669/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19669.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación existente actualizada y conservada con su ID.
EXP-19670,19670,2026-03-11,Proyecto de Ley,Programa de desendeudamiento Alivio Corrientes,Crea el Programa Provincial de Desendeudamiento Personal y Familiar “Alivio Corrientes”.,"Propone programa de desendeudamiento Alivio Corrientes. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Transparencia institucional,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,true,2026-03-11-alivio-corrientes,2026-03-11-alivio-corrientes,Alivio Corrientes: proponen una salida ordenada para deudas familiares,La iniciativa impulsada por Cecilia Gortari y el bloque plantea un programa provincial para reestructurar obligaciones y acompañar a hogares sobreendeudados.,/assets/uploads/project-news/2026-03-11-19670-alivio-corrientes.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19670/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19670.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación existente actualizada y conservada con su ID.
EXP-19675,19675,2026-03-11,Proyecto de Resolución,Condiciones edilicias en escuelas rurales de Goya,Solicita al Poder Ejecutivo que garantice las condiciones de necesarias para el correcto funcionamiento del ciclo lectivo 2026 en establecimientos educativos públicos rurales de Goya,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con condiciones edilicias en escuelas rurales de Goya. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,true,2026-03-11-cinco-proyectos-corrientes,2026-03-11-cinco-proyectos-corrientes,Piden mejorar las condiciones edilicias de las escuelas rurales de Goya,"El proyecto solicita al Poder Ejecutivo un relevamiento y respuestas para establecimientos rurales del departamento de Goya, con foco en la seguridad y el aprendizaje.",/assets/uploads/project-news/2026-03-11-19675-escuelas-rurales-goya.webp,Wikimedia Commons | Cacedi1 | CC BY-SA 4.0,https://hcdcorrientes.gov.ar/expedientes/19675/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19675.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación existente actualizada y conservada con su ID.
EXP-19680,19680,2026-03-11,Proyecto de Resolución,Señalización e iluminación de la Ruta Provincial 27,"Solicita al Poder Ejecutivo la ejecución de trabajos de demarcación, señalización e iluminación en la ruta provincial 27, en el tramo comprendido entre su intersección con la ruta nacional 12 en la localidad de Saladas y la ciudad de Goya.","Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con señalización e iluminación de la Ruta Provincial 27. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Infraestructura,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-03-11-seguridad-ruta-27,Solicitan señalización e iluminación para reforzar la seguridad en la Ruta 27,La propuesta pide intervenir puntos críticos de la Ruta Provincial 27 para mejorar la visibilidad y reducir riesgos para quienes circulan por ese corredor.,/assets/uploads/project-news/2026-03-11-19680-seguridad-ruta-27.webp,Wikimedia Commons | Lucash | CC BY-SA 3.0,https://hcdcorrientes.gov.ar/expedientes/19680/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19680-1.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19714,19714,2026-03-18,Proyecto de Ley,Cobertura de IOSCOR para prestaciones de identidad de género,Establece un Régimen Provincial de Garantía de Prestaciones de Salud Vinculadas a la Identidad de Género.,"Propone cobertura de IOSCOR para prestaciones de identidad de género. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Salud,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-03-18-cobertura-ioscor-identidad-genero,Proponen ampliar la cobertura del IOSCOR para prestaciones de identidad de género,El proyecto busca incorporar prestaciones vinculadas con la identidad de género a la obra social provincial y garantizar una atención integral a sus afiliados.,/assets/uploads/project-news/2026-03-18-19714-cobertura-identidad-genero.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19714/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19714.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19715,19715,2026-03-18,Proyecto de Ley,Acceso a salas de juego y deudores alimentarios,Modifica la ley 5448. Inhabilitación de Acceso a Establecimientos de Juego de Azar para Deudores Alimentarios.,"Propone acceso a salas de juego y deudores alimentarios. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Transparencia institucional,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,true,2026-03-14-proyectos-ley-deudores-ioscor,2026-03-14-proyectos-ley-deudores-ioscor,Buscan restringir el acceso a casinos a deudores alimentarios morosos,"La iniciativa propone impedir el ingreso a salas de juego a quienes figuren en el registro de deudores alimentarios, reforzando el cumplimiento de sus obligaciones.",/assets/uploads/project-news/2026-03-18-19715-deudores-alimentarios-casinos.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19715/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19715.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación existente actualizada y conservada con su ID.
EXP-19720,19720,2026-03-18,Proyecto de Declaración,Monitoreo de políticas de salud sexual y reproductiva,De interés el informe elaborado por la Fundación Derechos Humanos Equidad y Género (FUNDHEG) sobre el monitoreo de la implementación de la ley nacional 25673 -Programa Nacional de Salud Sexual y Procreación Responsable- y la ley nacional 27610 -Acceso a la Interrupción Voluntaria del Embarazo- en la Provincia de Corrientes.,"Declara de interés legislativo monitoreo de políticas de salud sexual y reproductiva. La iniciativa reconoce su relevancia social, cultural, educativa o comunitaria para la provincia y promueve su difusión institucional, de acuerdo con los antecedentes incorporados en el expediente.",Salud,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-03-18-informe-salud-sexual-reproductiva,Proponen declarar de interés un informe sobre salud sexual y reproductiva,La declaración impulsada por Cecilia Gortari y el bloque busca visibilizar un monitoreo ciudadano sobre el acceso a prestaciones e insumos en Corrientes.,/assets/uploads/project-news/2026-03-18-19720-informe-salud-sexual.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19720/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19720.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19753,19753,2026-04-08,Proyecto de Resolución,Reapertura del diálogo con organizaciones docentes,"Solicita al Poder Ejecutivo, la reapertura de una instancia de diálogo y negociación colectiva con las organizaciones sindicales representativas de los docentes.","Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con reapertura del diálogo con organizaciones docentes. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,true,2026-03-22-reclamo-docente-haberes-dialogo,2026-03-22-reclamo-docente-haberes-dialogo,Piden reabrir el diálogo con docentes y revisar los descuentos salariales,La resolución solicita una instancia urgente de diálogo con las organizaciones docentes y la revisión de descuentos aplicados durante el conflicto educativo.,/assets/uploads/project-news/2026-04-08-19753-dialogo-docente.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19753/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19753.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación existente actualizada y conservada con su ID.
EXP-19786,19786,2026-04-08,Proyecto de Resolución,Informe sobre Aportes del Tesoro Nacional recibidos por Corrientes,Solicita al Poder Ejecutivo informe sobre los Aportes del Tesoro Nacional (ATN) recibidos por la Provincia de Corrientes en lo que va del corriente año y su destino.,"Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre Aportes del Tesoro Nacional recibidos por Corrientes. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.",Transparencia institucional,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-08-informe-aportes-tesoro-nacional,Solicitan informes sobre los Aportes del Tesoro Nacional recibidos por Corrientes,"El pedido busca conocer los montos, fechas, criterios y destinos de los fondos nacionales transferidos a la Provincia bajo el régimen de Aportes del Tesoro Nacional.",/assets/uploads/project-news/2026-04-08-19786-informe-atn.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19786/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19786.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19787,19787,2026-04-08,Proyecto de Resolución,Informe sobre la situación financiera del Banco de Corrientes,"Solicita al Poder Ejecutivo que, por intermedio de los organismos competentes y de los representantes estatales ante el Banco de Corrientes S.A., remita informe detallado sobre la situación económico-financiera de la entidad.","Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre la situación financiera del Banco de Corrientes. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.",Transparencia institucional,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-08-informe-banco-corrientes,Piden información sobre la situación financiera del Banco de Corrientes,La iniciativa requiere datos institucionales y financieros para fortalecer el control legislativo sobre el banco público y resguardar su función provincial.,/assets/uploads/project-news/2026-04-08-19787-banco-corrientes.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19787/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19787.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
