id,expediente,tipo,titulo_oficial,titulo_publico,fecha_presentacion,comisiones,area_tematica,estado_preparacion,estado_tramite,tipo_autoria,autor_principal,resumen,legacy_id,legacy_soft_deleted,main_migrated,pagina_oficial,pdf_oficial,sha256,bytes,ficha_publica,descarga_publica,vista_previa,observacion_fuente
"EXP-20211","20211","Proyecto de Resolución","Solicita al Poder Ejecutivo, que a trav?s de los organismos competentes, informe sobre el estado y financiamiento de obras p?blicas anunciadas por el Gobierno Provincial.","Pedido de informes sobre obras públicas anunciadas por el Gobierno Provincial","2026-08-05","Energía, Transporte, Obras y Servicios Públicos","Infraestructura","Presentado","En comisiones","coautoria","Gustavo Canteros y Emiliano Fernández Recalde","El proyecto solicita información detallada sobre el estado actual, el financiamiento, los convenios, los plazos, el avance físico y presupuestario y las eventuales demoras de distintas obras públicas anunciadas por el Gobierno provincial. Su objetivo es garantizar transparencia y permitir el seguimiento efectivo de los compromisos públicos asumidos.","","false","false","https://hcdcorrientes.gov.ar/expedientes/20211/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20211.pdf","dd1c4019897d115034467a3b56117fdf88294ee246ba3d2feafc8aa068578485","59709","https://ceciliagortari.com.ar/proyectos/?id=EXP-20211","https://ceciliagortari.com.ar/api/projects/public/EXP-20211/documents/1c83a3a5-f256-4d69-a93e-d96609e2a637/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20211/documents/1c83a3a5-f256-4d69-a93e-d96609e2a637/preview",""
"EXP-20212","20212","Proyecto de Ley","Crea el R?gimen de Aprovechamiento Social, Energ?tico y Productivo de la Porci?n Provincial de las Regal?as Hidroel?ctricas de Yacyret?.","Aprovechamiento social y productivo de las regalías de Yacyretá","2026-08-05","Energía, Transporte, Obras y Servicios Públicos","Producción","Presentado","En comisiones","coautoria","Gustavo Canteros y Emiliano Fernández Recalde","La iniciativa propone establecer un régimen provincial para que una parte de las regalías hidroeléctricas provenientes de Yacyretá sea destinada de manera planificada, transparente y verificable a inversiones sociales, energéticas, productivas y de infraestructura que generen desarrollo para Corrientes.","P-0086","true","true","https://hcdcorrientes.gov.ar/expedientes/20212/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20212.pdf","1ccb656280e68e7904da7c601a4009f5fd0f1ecac215c1b230d46ea913adf721","138995","https://ceciliagortari.com.ar/proyectos/?id=EXP-20212","https://ceciliagortari.com.ar/api/projects/public/EXP-20212/documents/24847369-5991-4c0b-965f-a969e19db800/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20212/documents/24847369-5991-4c0b-965f-a969e19db800/preview",""
"EXP-20213","20213","Proyecto de Ley","De Efectividad e Implementaci?n de las Leyes Provinciales.","Efectividad e implementación de las leyes provinciales","2026-08-05","Asuntos Constitucionales y Legislación General","Transparencia institucional","Presentado","En comisiones","acompanado","","La iniciativa propone que las leyes provinciales no queden sin aplicación por falta de reglamentación. Prevé plazos, un registro público digital, informes anuales y un relevamiento de normas pendientes para fortalecer la transparencia, la seguridad jurídica y la eficacia de la acción estatal.","","false","false","https://hcdcorrientes.gov.ar/expedientes/20213/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20213.pdf","90dd2bc6b9ae1b97614d641e36bf85c4be27321cd2bbb52beb07f3f3d2001e76","56284","https://ceciliagortari.com.ar/proyectos/?id=EXP-20213","https://ceciliagortari.com.ar/api/projects/public/EXP-20213/documents/faaf5cbf-f13c-4b14-8cc5-be8b311d3791/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20213/documents/faaf5cbf-f13c-4b14-8cc5-be8b311d3791/preview",""
"EXP-20214","20214","Proyecto de Ley","Adopci?n del S?mbolo Internacional de Accesibilidad Universal.","Adopción del nuevo Símbolo Internacional de Accesibilidad Universal","2026-08-05","Protección de Personas con Discapacidad","Discapacidad","Presentado","En comisiones","coautoria","Gustavo Canteros y Emiliano Fernández Recalde","El proyecto propone adoptar progresivamente en la Provincia de Corrientes el Símbolo Internacional de Accesibilidad Universal, promoviendo una concepción integral de la accesibilidad que contemple las barreras físicas, sensoriales, cognitivas, comunicacionales y digitales.","P-0089","true","true","https://hcdcorrientes.gov.ar/expedientes/20214/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20214.pdf","adbcfc6819f14b4670b610f7bc7e547edfc18147199e7e75491c55d32dcf2171","103309","https://ceciliagortari.com.ar/proyectos/?id=EXP-20214","https://ceciliagortari.com.ar/api/projects/public/EXP-20214/documents/97f10165-7616-47de-9136-6db296927161/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20214/documents/97f10165-7616-47de-9136-6db296927161/preview",""
"EXP-20215","20215","Proyecto de Resolución","Modifica el Reglamento de la Honorable C?mara de Diputados.","Reforma del Reglamento para evitar la paralización de los proyectos","2026-08-05","Peticiones, Reglamento y Poderes","Transparencia institucional","Presentado","En comisiones","coautoria","Gustavo Canteros y Emiliano Fernández Recalde","La propuesta modifica el Reglamento de la Cámara de Diputados para fortalecer el funcionamiento de las comisiones, promover el tratamiento efectivo de los expedientes y evitar que proyectos de ley y de resolución permanezcan indefinidamente paralizados hasta perder estado parlamentario.","P-0088","true","true","https://hcdcorrientes.gov.ar/expedientes/20215/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20215.pdf","4f44f9128ad158ca8307e18c947f5c1148c4a18173a19cb8b8ec25a45fdeaac7","199214","https://ceciliagortari.com.ar/proyectos/?id=EXP-20215","https://ceciliagortari.com.ar/api/projects/public/EXP-20215/documents/043953ea-eb2e-45b0-af35-5f72e20ffe2e/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20215/documents/043953ea-eb2e-45b0-af35-5f72e20ffe2e/preview",""
"EXP-20224","20224","Proyecto de Ley","Regulaci?n de la Sedaci?n Consciente en Odontolog?a y Modernizaci?n del Ejercicio Profesional.","Regulación de la sedación consciente en odontología","2026-08-05","Salud Pública","Salud","Presentado","En comisiones","acompanado","","La propuesta actualiza la Ley 2839 para regular la sedación consciente con óxido nitroso y oxígeno en odontología, bajo capacitación, protocolos y fiscalización sanitaria. También incorpora la teleodontología y las unidades móviles, con prioridad para niñas y niños, personas con discapacidad, pacientes neurodivergentes y personas con odontofobia.","","false","false","https://hcdcorrientes.gov.ar/expedientes/20224/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20224.pdf","2dcaff1a67fead7145fec71edf7dffe1f0f54d8d46744ed221d9ec5561c9d671","60308","https://ceciliagortari.com.ar/proyectos/?id=EXP-20224","https://ceciliagortari.com.ar/api/projects/public/EXP-20224/documents/6a990231-87b0-44b9-87b2-59d236cf8912/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20224/documents/6a990231-87b0-44b9-87b2-59d236cf8912/preview",""
"EXP-20225","20225","Proyecto de Ley","Modifica la ley 6724 -Accesibilidad Cognitiva y Comunicacional: Lectura f?cil-.","Actualización de la Ley de Accesibilidad Cognitiva y Lectura Fácil","2026-08-05","Protección de Personas con Discapacidad","Discapacidad","Presentado","En comisiones","acompanado","","El proyecto modifica la Ley 6724 para ampliar la accesibilidad cognitiva y comunicacional mediante lectura fácil, sistemas alternativos y aumentativos de comunicación, pictogramas y formatos comprensibles. Prevé una aplicación gradual en ámbitos públicos y privados de concurrencia masiva, con adecuaciones, incentivos y controles.","","false","false","https://hcdcorrientes.gov.ar/expedientes/20225/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20225.pdf","144657144c54aa2be98ecde5f4a8d8a5d3a942ca3a134b65607987f12bfd953e","77652","https://ceciliagortari.com.ar/proyectos/?id=EXP-20225","https://ceciliagortari.com.ar/api/projects/public/EXP-20225/documents/c47a37a8-d9a1-4d05-b97f-b80c2b4d2424/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20225/documents/c47a37a8-d9a1-4d05-b97f-b80c2b4d2424/preview","La ficha oficial y la URL corresponden al expediente 20225, pero la primera línea interna del PDF oficial dice 'EXPTE 20254'. El objeto, tipo e iniciadores sí coinciden con la ficha 20225."
"EXP-20226","20226","Proyecto de Declaración","De inter?s la destacada participaci?n y los premios obtenidos por los reproductores y caba?as de la provincia de Corrientes en la Exposici?n Rural de Palermo.","Reconocimiento a las cabañas correntinas premiadas en la Exposición Rural de Palermo","2026-08-05","Sobre Tablas","Producción","Presentado","Aprobado","acompanado","","La iniciativa reconoce la destacada participación de reproductores, cabañas y productores correntinos en la Exposición Rural de Palermo, poniendo en valor la excelencia genética y el aporte del sector al desarrollo agropecuario. Fue tratada sobre tablas y aprobada como Declaración 257 junto con el expediente 20235, referido al mismo tema.","","false","false","https://hcdcorrientes.gov.ar/expedientes/20226/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20226.pdf","4706434fc4bb00946b6c636ad3621b73980660aae49a34949811af39c0c5c2cf","27107","https://ceciliagortari.com.ar/proyectos/?id=EXP-20226","https://ceciliagortari.com.ar/api/projects/public/EXP-20226/documents/f7d96f71-e8ac-4cf6-9642-eb25cea8ed1a/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20226/documents/f7d96f71-e8ac-4cf6-9642-eb25cea8ed1a/preview",""
"EXP-20231","20231","Proyecto de Declaración","De inter?s las actividades que se realicen en conmemoraci?n de la fiesta patronal de San Cayetano, patrono del trabajo, en la localidad de San Cayetano.","Actividades en honor a San Cayetano, patrono del trabajo","2026-08-05","Sobre Tablas","Cultura","Presentado","Aprobado","acompanado","","La declaración reconoce las actividades religiosas, culturales y comunitarias de la fiesta patronal de San Cayetano, que cada 7 de agosto reúne a fieles y peregrinos en la localidad homónima y forma parte del patrimonio espiritual e identitario de Corrientes. Fue aprobada como Declaración 261.","","false","false","https://hcdcorrientes.gov.ar/expedientes/20231/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20231.pdf","b995d617d6dabf54f5ef23fb860558574c87de7b3a2e11e9379b4f2a41dd1bbc","177796","https://ceciliagortari.com.ar/proyectos/?id=EXP-20231","https://ceciliagortari.com.ar/api/projects/public/EXP-20231/documents/f005bcca-2c69-4803-9b9d-65b61fb78ff4/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20231/documents/f005bcca-2c69-4803-9b9d-65b61fb78ff4/preview",""
"EXP-20232","20232","Proyecto de Declaración","De inter?s las actividades que se realicen en conmemoraci?n del D?a Nacional de la Educaci?n Especial.","Conmemoración del Día Nacional de la Educación Especial","2026-08-05","Sobre Tablas","Educación","Presentado","Aprobado","acompanado","","La declaración reconoce las actividades por el Día Nacional de la Educación Especial y la labor de docentes, profesionales, instituciones, familias y organizaciones que promueven trayectorias educativas inclusivas, accesibles y respetuosas de la diversidad. Fue aprobada como Declaración 262.","","false","false","https://hcdcorrientes.gov.ar/expedientes/20232/","https://hcdcorrientes.gov.ar/wp-content/uploads/2026/08/Expte-20232.pdf","1e8049a5c78df81a9a54ec767181e08f848fceeb48b40a6f6283c94b1902450b","182713","https://ceciliagortari.com.ar/proyectos/?id=EXP-20232","https://ceciliagortari.com.ar/api/projects/public/EXP-20232/documents/ccd35dac-74d1-446d-8821-4cfea4c27d4a/download","https://ceciliagortari.com.ar/api/projects/public/EXP-20232/documents/ccd35dac-74d1-446d-8821-4cfea4c27d4a/preview",""
