numero_expediente,fecha_presentacion,sesion,tipo,titulo_oficial,titulo_publico_propuesto,resumen_propuesto,comision_principal,comisiones_secundarias,area_tematica,autoria,responsable,estado_preparacion,estado_tramite,existe_en_panel,id_actual,id_destino,tiene_docx,tiene_expediente_pdf,url_fuente_oficial,url_pdf_oficial,nombre_pdf,accion_requerida,observaciones,estado_de_verificacion
19669,2026-03-11,1ª Reunión | 1ª Sesión Ordinaria,Ley,Crea el Régimen Extraordinario de Asistencia Económica Transitoria para trabajadores cesanteados de Emilio Alal SACIFI.,Asistencia económica para trabajadores cesanteados de Alal,"Propone asistencia económica para trabajadores cesanteados de Alal. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Legislación Del Trabajo, Previsión Y Seguridad Social","Hacienda, Presupuesto E Impuestos",Seguridad,coautoria,Gonzalo,Presentado,En comisiones,True,P-0015,EXP-19669,True,True,https://hcdcorrientes.gov.ar/expedientes/19669/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19669.pdf,EXPTE-19669-LEY-crea-el-regimen-extraordinario-de-asistencia-economica-transitoria-par.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19670,2026-03-11,1ª Reunión | 1ª Sesión Ordinaria,Ley,Crea el Programa Provincial de Desendeudamiento Personal y Familiar “Alivio Corrientes”.,Programa de desendeudamiento Alivio Corrientes,"Propone programa de desendeudamiento Alivio Corrientes. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Hacienda, Presupuesto E Impuestos",,Transparencia institucional,coautoria,Gonzalo,Presentado,En comisiones,True,P-0019,EXP-19670,True,True,https://hcdcorrientes.gov.ar/expedientes/19670/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19670.pdf,EXPTE-19670-LEY-crea-el-programa-provincial-de-desendeudamiento-personal-y-familiar-al.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19714,2026-03-18,2ª Reunión | 2ª Sesión Ordinaria,Ley,Establece un Régimen Provincial de Garantía de Prestaciones de Salud Vinculadas a la Identidad de Género.,Cobertura de IOSCOR para prestaciones de identidad de género,"Propone cobertura de IOSCOR para prestaciones de identidad de género. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Salud Pública,"Derechos Humanos, Género Y Diversidad",Salud,coautoria,Gonzalo,Presentado,En comisiones,True,P-0022,EXP-19714,True,True,https://hcdcorrientes.gov.ar/expedientes/19714/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19714.pdf,EXPTE-19714-LEY-establece-un-regimen-provincial-de-garantia-de-prestaciones-de-salud-v.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19715,2026-03-18,2ª Reunión | 2ª Sesión Ordinaria,Ley,Modifica la ley 5448. Inhabilitación de Acceso a Establecimientos de Juego de Azar para Deudores Alimentarios.,Acceso a salas de juego y deudores alimentarios,"Propone acceso a salas de juego y deudores alimentarios. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Asuntos Constitucionales Y Legislación General,,Transparencia institucional,coautoria,Gonzalo,Presentado,En comisiones,True,P-0020,EXP-19715,True,True,https://hcdcorrientes.gov.ar/expedientes/19715/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19715.pdf,EXPTE-19715-LEY-modifica-la-ley-5448-inhabilitacion-de-acceso-a-establecimientos-de-ju.pdf,actualizar_y_migrar,La ficha oficial presenta una anomalía en el campo de autores; el expediente descargado fue verificado.,verificado_fuente_y_pdf_oficial
19788,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Ley,Crea el Régimen de Protección de la Disponibilidad de Haberes Acreditados en Cuentas Vinculadas al Pago de Prestaciones frente a Débitos Automáticos de Tarjeta de Crédito.,Protección del salario frente a débitos automáticos,"Propone protección del salario frente a débitos automáticos. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Defensa Del Consumidor,"Hacienda, Presupuesto E Impuestos",Trabajo,coautoria,Gonzalo,Presentado,En comisiones,True,P-0032,EXP-19788,True,True,https://hcdcorrientes.gov.ar/expedientes/19788/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19788.pdf,EXPTE-19788-LEY-crea-el-regimen-de-proteccion-de-la-disponibilidad-de-haberes-acredita.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19789,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Ley,Asignación Provincial de Incentivo Docente y Garantías de Transparencia y Tutela Salarial Docente.,Asignación Provincial de Incentivo Docente,"Propone asignación Provincial de Incentivo Docente. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Hacienda, Presupuesto E Impuestos","Legislación Del Trabajo, Previsión Y Seguridad Social",Educación,coautoria,Gonzalo,Presentado,En comisiones,True,P-0038,EXP-19789,True,True,https://hcdcorrientes.gov.ar/expedientes/19789/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19789.pdf,EXPTE-19789-LEY-asignacion-provincial-de-incentivo-docente-y-garantias-de-transparenci.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19794,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Ley,Crea el Plan Provincial “Corrientes Cooperativa”,Plan Provincial Corrientes Cooperativa,"Propone plan Provincial Corrientes Cooperativa. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Educación, Cultura, Ciencia Y Tecnología",,Educación,acompanado,Gonzalo,Presentado,En comisiones,True,P-0052,EXP-19794,True,False,https://hcdcorrientes.gov.ar/expedientes/19794/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19794.pdf,EXPTE-19794-LEY-crea-el-plan-provincial-corrientes-cooperativa.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19832,2026-04-15,4ª Reunión | 4ª Sesión Ordinaria,Ley,Modifica la ley 3079 – Régimen de Transparencia Informativa Mínima en Carteles de Obra Pública Provincial.,Transparencia informativa en carteles de obra pública,"Propone transparencia informativa en carteles de obra pública. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Energía, Transporte, Obras Y Servicios Públicos",,Infraestructura,coautoria,Gonzalo,Presentado,En comisiones,True,P-0008,EXP-19832,True,True,https://hcdcorrientes.gov.ar/expedientes/19832/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19832-1.pdf,EXPTE-19832-LEY-modifica-la-ley-3079-regimen-de-transparencia-informativa-minima-en-ca.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19837,2026-04-15,4ª Reunión | 4ª Sesión Ordinaria,Ley,Instituye el 2 de octubre de cada año como el “Día del Personal de Recursos Naturales de la Provincia de Corrientes”.,Día del Personal de Recursos Naturales de Corrientes,"Propone día del Personal de Recursos Naturales de Corrientes. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Ecología Y Ambiente,,Ambiente,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19837,False,False,https://hcdcorrientes.gov.ar/expedientes/19837/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19837-1.pdf,EXPTE-19837-LEY-instituye-el-2-de-octubre-de-cada-ano-como-el-dia-del-personal-de-recu.pdf,crear,,verificado_fuente_y_pdf_oficial
19841,2026-04-15,4ª Reunión | 4ª Sesión Ordinaria,Ley,"Reforma, Modernización y Normalización de IOSCOR.",Reforma y normalización del IOSCOR,"Propone reforma y normalización del IOSCOR. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Salud Pública,Asuntos Constitucionales Y Legislación General,Salud,coautoria,Gonzalo,Presentado,En comisiones,True,P-0049,EXP-19841,True,True,https://hcdcorrientes.gov.ar/expedientes/19841/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19841.pdf,EXPTE-19841-LEY-reforma-modernizacion-y-normalizacion-de-ioscor.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19877,2026-04-29,5ª Reunión | 5ª Sesión Ordinaria,Ley,"Prevención, Control y Erradicación del Acoso y Violencia Laboral.","Prevención, Control y Erradicación del Acoso y Violencia Laboral","Propone prevención, Control y Erradicación del Acoso y Violencia Laboral. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Legislación Del Trabajo, Previsión Y Seguridad Social",,Seguridad,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19877,False,False,https://hcdcorrientes.gov.ar/expedientes/19877/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19877.pdf,EXPTE-19877-LEY-prevencion-control-y-erradicacion-del-acoso-y-violencia-laboral.pdf,crear,,verificado_fuente_y_pdf_oficial
19931,2026-05-06,6ª Reunión | 6ª Sesión Ordinaria,Ley,Programa Provincial de Promoción del Deporte Inclusivo y Adaptado para Personas con Discapacidad.,Programa provincial de deporte inclusivo y adaptado,"Propone programa provincial de deporte inclusivo y adaptado. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Protección De Personas Con Discapacidad,Deportes,Discapacidad,coautoria,Gonzalo,Presentado,En comisiones,True,P-0035,EXP-19931,True,False,https://hcdcorrientes.gov.ar/expedientes/19931/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19931.pdf,EXPTE-19931-LEY-programa-provincial-de-promocion-del-deporte-inclusivo-y-adaptado-para.pdf,actualizar_y_migrar,La ficha oficial presenta una anomalía en el campo de autores; el expediente descargado fue verificado.,verificado_fuente_y_pdf_oficial
19932,2026-05-06,6ª Reunión | 6ª Sesión Ordinaria,Ley,"Pensión graciable, vitalicia y mensual como reconocimiento histórico, moral y honorífico para exsoldados de las Fuerzas Armadas y personal civil convocados durante la Guerra de Malvinas.","Pensión graciable, vitalicia y mensual como reconocimiento histórico","Propone pensión graciable, vitalicia y mensual como reconocimiento histórico. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Asuntos Constitucionales Y Legislación General,"Hacienda, Presupuesto E Impuestos",Derechos Humanos,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19932,False,False,https://hcdcorrientes.gov.ar/expedientes/19932/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19932.pdf,EXPTE-19932-LEY-pension-graciable-vitalicia-y-mensual-como-reconocimiento-historico-mo.pdf,crear,,verificado_fuente_y_pdf_oficial
